Police Force,Easting,Northing,Casualty Severity,Vehicle Type,Date
Northumbria,409340,608140,Slight,Car,16/01/2015
Northumbria,418553,613455,Slight,Car,26/01/2015
Northumbria,418422,618705,Fatal,Car,06/02/2015
Northumbria,418422,618705,Serious,Goods vehicle 3.5 tonnes maximum gross weight (mgw) and under,06/02/2015
Northumbria,417379,606508,Serious,Car,15/02/2015
Northumbria,417379,606508,Slight,Car,15/02/2015
Northumbria,417379,606508,Fatal,Car,15/02/2015
Northumbria,417379,606508,Slight,Car,15/02/2015
Northumbria,417379,606508,Slight,Car,15/02/2015
Northumbria,417379,606508,Slight,Car,15/02/2015
Northumbria,417379,606508,Slight,Car,15/02/2015
Northumbria,416683,612212,Fatal,Car,17/02/2015
Northumbria,416683,612212,Slight,Car,17/02/2015
Northumbria,418687,613298,Slight,Car,20/02/2015
Northumbria,406474,601335,Slight,Car,28/02/2015
Northumbria,393077,590945,Slight,Car,06/03/2015
Northumbria,423516,601853,Slight,Car,10/03/2015
Northumbria,422185,601799,Slight,Ridden horse,17/03/2015
Northumbria,422185,601799,Slight,Ridden horse,17/03/2015
Northumbria,417404,606672,Slight,Car,19/03/2015
Northumbria,426470,604411,Slight,Pedal Cycle,24/03/2015
Northumbria,418652,613300,Slight,Car,28/03/2015
Northumbria,419119,613003,Slight,Bus or coach (17 or more passenger seats),06/04/2015
Northumbria,420442,614270,Slight,Car,20/04/2015
Northumbria,420442,614270,Slight,Car,20/04/2015
Northumbria,417630,620913,Slight,Car,27/04/2015
Northumbria,417630,620913,Slight,Car,27/04/2015
Northumbria,419156,612406,Slight,Pedal Cycle,13/05/2015
Northumbria,398118,602883,Slight,Ridden horse,16/05/2015
Northumbria,418517,600364,Serious,Pedal Cycle,30/05/2015
Northumbria,418583,613428,Slight,Goods vehicle 3.5 tonnes maximum gross weight (mgw) and under,10/06/2015
Northumbria,418583,613428,Slight,Goods vehicle 3.5 tonnes maximum gross weight (mgw) and under,10/06/2015
Northumbria,407100,615937,Slight,Car,15/06/2015
Northumbria,407100,615937,Slight,Car,15/06/2015
Northumbria,426105,603956,Slight,Goods vehicle 3.5 tonnes maximum gross weight (mgw) and under,25/06/2015
Northumbria,416990,622870,Slight,Motorcycle over 500cc,27/06/2015
Northumbria,423179,618151,Slight,Motorcycle over 50cc and up to 125cc,27/06/2015
Northumbria,406320,601860,Slight,Car,28/06/2015
Northumbria,403616,604405,Slight,Motorcycle over 500cc,29/06/2015
Northumbria,394028,595889,Serious,Motorcycle over 500cc,29/06/2015
Northumbria,423596,618584,Slight,Motorcycle over 500cc,07/07/2015
Northumbria,415758,611786,Serious,Car,12/07/2015
Northumbria,426594,604629,Slight,Pedal Cycle,22/07/2015
Northumbria,424949,604765,Slight,Car,23/07/2015
Northumbria,416895,623007,Slight,Ridden horse,28/07/2015
Northumbria,412415,609357,Slight,Car,01/08/2015
Northumbria,419554,613617,Slight,Car,04/08/2015
Northumbria,409339,608150,Slight,Car,11/08/2015
Northumbria,409339,608150,Slight,Car,11/08/2015
Northumbria,409339,608150,Slight,Car,11/08/2015
Northumbria,409339,608150,Slight,Car,11/08/2015
Northumbria,422272,625043,Slight,Car,14/08/2015
Northumbria,424925,606926,Slight,Car,21/08/2015
Northumbria,419529,611005,Serious,Car,21/08/2015
Northumbria,419529,611005,Slight,Car,21/08/2015
Northumbria,405957,592917,Slight,Motorcycle over 500cc,23/08/2015
Northumbria,405957,592917,Slight,Motorcycle over 500cc,23/08/2015
Northumbria,424352,610828,Slight,Car,25/08/2015
Northumbria,421765,608449,Serious,Car,25/08/2015
Northumbria,391877,591525,Serious,Motorcycle over 500cc,01/09/2015
Northumbria,420167,612636,Serious,Car,05/09/2015
Northumbria,420167,612636,Serious,Car,05/09/2015
Northumbria,420167,612636,Serious,Car,05/09/2015
Northumbria,416454,612107,Slight,Car,05/09/2015
Northumbria,416454,612107,Slight,Car,05/09/2015
Northumbria,416454,612107,Slight,Car,05/09/2015
Northumbria,409835,606201,Slight,Car,23/09/2015
Northumbria,409345,606935,Slight,Car,23/09/2015
Northumbria,426665,603543,Slight,Goods vehicle 3.5 tonnes maximum gross weight (mgw) and under,24/09/2015
Northumbria,426665,603543,Slight,Car,24/09/2015
Northumbria,426665,603543,Slight,Car,24/09/2015
Northumbria,424981,602523,Slight,Motorcycle over 500cc,29/09/2015
Northumbria,420792,612456,Slight,Goods vehicle 3.5 tonnes maximum gross weight (mgw) and under,01/10/2015
Northumbria,420792,612456,Slight,Car,01/10/2015
Northumbria,411815,605395,Slight,Car,04/10/2015
Northumbria,411345,605627,Fatal,Car,07/10/2015
Northumbria,411345,605627,Serious,Goods vehicle 3.5 tonnes maximum gross weight (mgw) and under,07/10/2015
Northumbria,411345,605627,Serious,Goods vehicle 3.5 tonnes maximum gross weight (mgw) and under,07/10/2015
Northumbria,423007,612207,Slight,Car,09/10/2015
Northumbria,423007,612207,Serious,Car,09/10/2015
Northumbria,423007,612207,Slight,Car,09/10/2015
Northumbria,417380,606521,Slight,Goods vehicle 3.5 tonnes maximum gross weight (mgw) and under,09/10/2015
Northumbria,417380,606521,Slight,Car,09/10/2015
Northumbria,417380,606521,Slight,Car,09/10/2015
Northumbria,417380,606521,Slight,Goods vehicle 3.5 tonnes maximum gross weight (mgw) and under,09/10/2015
Northumbria,417380,606521,Slight,Goods vehicle 3.5 tonnes maximum gross weight (mgw) and under,09/10/2015
Northumbria,417380,606521,Slight,Goods vehicle 3.5 tonnes maximum gross weight (mgw) and under,09/10/2015
Northumbria,393470,590461,Slight,Goods vehicle 3.5 tonnes maximum gross weight (mgw) and under,11/10/2015
Northumbria,394482,589322,Slight,Car,13/10/2015
Northumbria,424948,620039,Slight,Car,19/10/2015
Northumbria,424948,620039,Slight,Car,19/10/2015
Northumbria,426017,603942,Serious,Car,19/10/2015
Northumbria,423488,611655,Slight,Car,29/10/2015
Northumbria,423488,611655,Slight,Car,29/10/2015
Northumbria,417571,602740,Slight,Car,01/11/2015
Northumbria,417581,603252,Serious,Goods vehicle 3.5 tonnes maximum gross weight (mgw) and under,03/11/2015
Northumbria,417581,603252,Slight,Car,03/11/2015
Northumbria,417581,603252,Slight,Car,03/11/2015
Northumbria,417581,603252,Serious,Car,03/11/2015
Northumbria,420093,614283,Slight,Car,04/11/2015
Northumbria,423296,622403,Slight,Car,11/11/2015
Northumbria,423296,622403,Serious,Car,11/11/2015
Northumbria,410220,606007,Slight,Car,11/11/2015
Northumbria,417497,601310,Slight,Car,30/11/2015
Northumbria,417497,601310,Slight,Car,30/11/2015
Northumbria,423980,615006,Fatal,Car,08/12/2015
Northumbria,417626,608783,Fatal,Agricultural vehicle (includes diggers etc),09/12/2015
Northumbria,413779,610876,Serious,Car,12/01/2016
Northumbria,413779,610876,Slight,Car,12/01/2016
Northumbria,418171,610034,Slight,Car,27/01/2016
Northumbria,422128,614968,Slight,Car,29/01/2016
Northumbria,423940,604704,Slight,Car,31/01/2016
Northumbria,417540,604077,Slight,Car,02/02/2016
Northumbria,417540,604077,Slight,Car,02/02/2016
Northumbria,408826,612070,Slight,Car,05/02/2016
Northumbria,423340,611265,Slight,Car,06/02/2016
Northumbria,423340,611265,Slight,Car,06/02/2016
Northumbria,417556,604075,Serious,Car,09/02/2016
Northumbria,423084,612084,Slight,Car,11/02/2016
Northumbria,419480,615885,Slight,Car,19/02/2016
Northumbria,419480,615885,Slight,Car,19/02/2016
Northumbria,437588,555623,Slight,Car,03/01/2015
Northumbria,438052,556118,Slight,Car,19/01/2015
Northumbria,437762,555231,Slight,Car,21/01/2015
Northumbria,438389,555555,Slight,Car,27/01/2015
Northumbria,438357,555523,Slight,Car,15/02/2015
Northumbria,438357,555523,Slight,Motorcycle over 500cc,15/02/2015
Northumbria,438554,556553,Slight,Pedal Cycle,23/03/2015
Northumbria,437762,555228,Slight,Car,07/04/2015
Northumbria,437762,555228,Slight,Car,07/04/2015
Northumbria,437762,555228,Slight,Car,07/04/2015
Northumbria,438255,556016,Slight,Car,18/04/2015
Northumbria,437372,554989,Slight,Car,01/05/2015
Northumbria,437372,554989,Slight,Car,01/05/2015
Northumbria,438379,555554,Slight,Car,06/05/2015
Northumbria,438057,556104,Slight,Car,26/05/2015
Northumbria,438057,556104,Slight,Car,26/05/2015
Northumbria,438495,555732,Slight,Car,05/06/2015
Northumbria,438381,555553,Slight,Car,07/06/2015
Northumbria,438642,556284,Slight,Car,08/06/2015
Northumbria,438265,554985,Slight,Pedal Cycle,07/07/2015
Northumbria,438562,555632,Serious,Goods vehicle 3.5 tonnes maximum gross weight (mgw) and under,28/07/2015
Northumbria,438562,555632,Slight,Car,28/07/2015
Northumbria,438562,555632,Serious,Car,28/07/2015
Northumbria,438562,555632,Slight,Car,28/07/2015
Northumbria,438120,556429,Slight,Bus or coach (17 or more passenger seats),13/08/2015
Northumbria,437383,554977,Serious,Car,22/08/2015
Northumbria,437383,554977,Slight,Car,22/08/2015
Northumbria,437383,554977,Serious,Car,22/08/2015
Northumbria,437383,554977,Slight,Car,22/08/2015
Northumbria,438094,556417,Slight,Pedal Cycle,02/10/2015
Northumbria,436705,555723,Slight,Car,07/10/2015
Northumbria,436705,555723,Slight,Car,07/10/2015
Northumbria,438326,556476,Slight,Car,07/10/2015
Northumbria,437335,556021,Slight,Car,13/10/2015
Northumbria,438191,556462,Slight,Car,15/10/2015
Northumbria,438354,556178,Slight,Car,19/10/2015
Northumbria,438354,556178,Slight,Car,19/10/2015
Northumbria,437971,556360,Slight,Car,20/10/2015
Northumbria,437430,554994,Slight,Car,25/10/2015
Northumbria,437430,554994,Slight,Car,25/10/2015
Northumbria,438422,556480,Slight,Car,26/10/2015
Northumbria,438572,556177,Slight,Car,31/10/2015
Northumbria,438302,556467,Slight,Bus or coach (17 or more passenger seats),02/11/2015
Northumbria,437658,555950,Slight,Car,04/11/2015
Northumbria,437824,556013,Slight,Car,10/11/2015
Northumbria,438081,556062,Slight,Car,20/11/2015
Northumbria,438183,555410,Slight,Car,22/11/2015
Northumbria,438183,555410,Slight,Car,22/11/2015
Northumbria,438183,555410,Slight,Car,22/11/2015
Northumbria,438343,556340,Slight,Car,02/12/2015
Northumbria,438394,556496,Slight,Car,07/12/2015
Northumbria,438394,556496,Slight,Car,07/12/2015
Northumbria,437717,555976,Slight,Motorcycle over 50cc and up to 125cc,09/12/2015
Northumbria,437746,555219,Slight,Car,13/12/2015
Northumbria,437384,554972,Slight,Car,20/12/2015
Northumbria,437384,554972,Slight,Car,20/12/2015
Northumbria,437384,554972,Slight,Car,20/12/2015
Northumbria,437678,554825,Slight,Car,27/12/2015
Northumbria,438133,555380,Slight,Car,31/12/2015
Northumbria,437994,555996,Slight,Car,18/01/2016
Northumbria,438054,556103,Serious,Motorcycle over 50cc and up to 125cc,28/02/2016
Northumbria,438054,556103,Slight,Car,28/02/2016
Northumbria,431540,568495,Slight,Pedal Cycle,09/01/2015
Northumbria,431580,568212,Slight,Pedal Cycle,26/01/2015
Northumbria,431460,568695,Slight,Car,10/02/2015
Northumbria,431433,568392,Slight,Car,14/02/2015
Northumbria,431076,568377,Slight,Pedal Cycle,18/02/2015
Northumbria,431979,568324,Slight,Goods vehicle 3.5 tonnes maximum gross weight (mgw) and under,24/03/2015
Northumbria,431979,568324,Slight,Goods vehicle 3.5 tonnes maximum gross weight (mgw) and under,24/03/2015
Northumbria,431979,568324,Slight,Car,24/03/2015
Northumbria,431979,568324,Slight,Car,24/03/2015
Northumbria,432152,568415,Slight,Car,21/04/2015
Northumbria,430084,567641,Slight,Car,18/05/2015
Northumbria,430183,567715,Slight,Car,22/05/2015
Northumbria,430183,567715,Slight,Car,22/05/2015
Northumbria,430372,567744,Slight,Car,04/06/2015
Northumbria,430381,568147,Slight,Car,18/06/2015
Northumbria,430381,568147,Slight,Goods vehicle 3.5 tonnes maximum gross weight (mgw) and under,18/06/2015
Northumbria,432155,568422,Slight,Car,23/06/2015
Northumbria,429997,567610,Slight,Car,24/06/2015
Northumbria,431806,568259,Slight,Car,07/07/2015
Northumbria,431806,568259,Slight,Car,07/07/2015
Northumbria,431499,568551,Serious,Car,16/07/2015
Northumbria,431514,568358,Slight,Car,21/07/2015
Northumbria,431514,568358,Slight,Car,21/07/2015
Northumbria,431243,568399,Slight,Car,28/07/2015
Northumbria,431832,568509,Slight,Car,18/08/2015
Northumbria,432162,568414,Slight,Car,02/09/2015
Northumbria,432162,568414,Slight,Car,02/09/2015
Northumbria,431271,568066,Slight,Car,01/10/2015
Northumbria,431025,567977,Slight,Car,01/10/2015
Northumbria,431025,567977,Slight,Car,01/10/2015
Northumbria,431025,567977,Slight,Car,01/10/2015
Northumbria,432128,568503,Slight,Car,14/10/2015
Northumbria,430370,567738,Slight,Car,20/10/2015
Northumbria,431938,568305,Slight,Car,08/12/2015
Northumbria,431437,568785,Slight,Pedal Cycle,27/12/2015
Northumbria,431021,568140,Slight,Motorcycle over 500cc,12/01/2016
Northumbria,431753,568240,Slight,Car,10/02/2016
Northumbria,432030,568353,Slight,Car,16/02/2016
Northumbria,430301,567871,Slight,Pedal Cycle,18/02/2016
Northumbria,436007,566951,Slight,Car,25/03/2015
Northumbria,436303,567050,Slight,Car,02/04/2015
Northumbria,436574,566888,Slight,Bus or coach (17 or more passenger seats),19/04/2015
Northumbria,437401,567487,Slight,Bus or coach (17 or more passenger seats),24/04/2015
Northumbria,437401,567487,Slight,Bus or coach (17 or more passenger seats),24/04/2015
Northumbria,436576,566812,Slight,Bus or coach (17 or more passenger seats),28/04/2015
Northumbria,436739,567563,Slight,Car,05/05/2015
Northumbria,436739,567563,Slight,Car,05/05/2015
Northumbria,436166,567016,Slight,Car,13/05/2015
Northumbria,436166,567016,Slight,Car,13/05/2015
Northumbria,436825,567031,Slight,Pedal Cycle,16/05/2015
Northumbria,436388,566939,Slight,Car,19/05/2015
Northumbria,436519,566799,Slight,Car,23/05/2015
Northumbria,436281,567065,Slight,Car,01/06/2015
Northumbria,436281,567065,Slight,Car,01/06/2015
Northumbria,436162,567018,Slight,Car,12/06/2015
Northumbria,436273,567066,Slight,Bus or coach (17 or more passenger seats),13/06/2015
Northumbria,436693,566514,Serious,Motorcycle over 500cc,14/06/2015
Northumbria,436579,566832,Slight,Bus or coach (17 or more passenger seats),20/06/2015
Northumbria,437404,567483,Slight,Car,23/06/2015
Northumbria,436780,567417,Slight,Motorcycle over 50cc and up to 125cc,14/08/2015
Northumbria,436664,566594,Slight,Bus or coach (17 or more passenger seats),21/08/2015
Northumbria,436692,566514,Slight,Car,13/09/2015
Northumbria,436692,566514,Slight,Car,13/09/2015
Northumbria,436266,567115,Serious,Car,06/10/2015
Northumbria,436579,567314,Slight,Car,23/11/2015
Northumbria,437286,567565,Slight,Car,28/11/2015
Northumbria,437286,567565,Slight,Car,28/11/2015
Northumbria,436213,566200,Slight,Car,14/12/2015
Northumbria,436274,567083,Slight,Bus or coach (17 or more passenger seats),24/12/2015
Northumbria,436393,567337,Slight,Car,01/01/2016
Northumbria,435944,566622,Slight,Car,08/01/2016
Northumbria,436555,566612,Slight,Car,11/02/2016
Northumbria,436716,566908,Slight,Car,13/02/2016
Northumbria,434041,563731,Slight,Car,07/01/2015
Northumbria,434041,563731,Slight,Car,07/01/2015
Northumbria,434247,563848,Slight,Car,31/01/2015
Northumbria,434134,564860,Slight,Car,10/02/2015
Northumbria,434113,563875,Slight,Car,10/02/2015
Northumbria,435225,563462,Slight,Car,11/02/2015
Northumbria,434035,563707,Slight,Motorcycle over 500cc,02/03/2015
Northumbria,434080,563757,Slight,Car,12/03/2015
Northumbria,434080,563757,Slight,Car,12/03/2015
Northumbria,434417,564955,Slight,Car,20/03/2015
Northumbria,434417,564955,Slight,Car,20/03/2015
Northumbria,434173,563822,Slight,Car,29/03/2015
Northumbria,434107,563619,Slight,Pedal Cycle,12/04/2015
Northumbria,433742,563508,Slight,Car,24/04/2015
Northumbria,433742,563508,Slight,Car,24/04/2015
Northumbria,434094,563637,Slight,Bus or coach (17 or more passenger seats),25/04/2015
Northumbria,434094,563637,Slight,Bus or coach (17 or more passenger seats),25/04/2015
Northumbria,434094,563637,Slight,Bus or coach (17 or more passenger seats),25/04/2015
Northumbria,434094,563637,Slight,Bus or coach (17 or more passenger seats),25/04/2015
Northumbria,434094,563637,Slight,Bus or coach (17 or more passenger seats),25/04/2015
Northumbria,433518,563228,Slight,Pedal Cycle,18/05/2015
Northumbria,434148,563972,Slight,Car,23/05/2015
Northumbria,434148,563972,Slight,Car,23/05/2015
Northumbria,433926,564840,Serious,Motorcycle over 50cc and up to 125cc,03/06/2015
Northumbria,433822,563603,Slight,Motorcycle over 125cc and up to 500cc,04/06/2015
Northumbria,435219,564776,Slight,Car,05/06/2015
Northumbria,435219,564776,Slight,Car,05/06/2015
Northumbria,434480,564074,Slight,Pedal Cycle,25/06/2015
Northumbria,434202,563873,Slight,Pedal Cycle,08/07/2015
Northumbria,435228,564797,Serious,Car,27/07/2015
Northumbria,434248,563785,Slight,Car,29/07/2015
Northumbria,434248,563785,Slight,Car,29/07/2015
Northumbria,434905,564458,Slight,Car,14/08/2015
Northumbria,433262,565014,Slight,Goods vehicle 3.5 tonnes maximum gross weight (mgw) and under,17/08/2015
Northumbria,433838,563571,Slight,Motorcycle over 50cc and up to 125cc,29/08/2015
Northumbria,434250,563780,Slight,Car,08/09/2015
Northumbria,433848,563585,Slight,Car,14/09/2015
Northumbria,433848,563585,Slight,Car,14/09/2015
Northumbria,433861,563594,Slight,Car,21/09/2015
Northumbria,433300,564937,Fatal,Motorcycle over 125cc and up to 500cc,29/09/2015
Northumbria,434033,563706,Slight,Goods vehicle 3.5 tonnes maximum gross weight (mgw) and under,02/10/2015
Northumbria,434033,563706,Slight,Car,02/10/2015
Northumbria,434170,563818,Slight,Bus or coach (17 or more passenger seats),13/10/2015
Northumbria,434047,564856,Slight,Car,05/11/2015
Northumbria,433769,563507,Slight,Car,20/11/2015
Northumbria,435220,564783,Slight,Car,27/11/2015
Northumbria,434092,563626,Slight,Taxi/Private hire car,06/12/2015
Northumbria,434092,563626,Slight,Taxi/Private hire car,06/12/2015
Northumbria,434092,563626,Slight,Taxi/Private hire car,06/12/2015
